accident_index,longitude,latitude,cluster
2020160958873,-0.732938,53.650902,4
2020160958875,-0.662783,53.596242,4
2020160958881,-0.56373,53.610151,4
2020160958887,-0.618413,53.808756,1
2020160959022,-0.314875,53.750536,3
2020160959143,-0.379235,53.790508,3
2020160959191,0.038581,53.722447,5
2020160959193,-0.323384,53.744049,3
2020160959196,-0.340099,53.603366,3
2020160959198,-0.664716,53.588138,4
2020160959200,-0.24206,54.075496,2
2020160959202,-0.1494,53.745525,5
2020160959296,-0.229933,53.636658,5
2020160959318,-0.650014,53.572062,4
2020160959480,-0.399083,53.737281,3
2020160959482,-0.288004,53.766489,3
2020160959487,-0.051161,53.569921,5
2020160959539,-0.269399,53.626601,3
2020160959753,-0.474296,53.759529,3
2020160959764,-0.03254,53.565688,5
2020160959822,-0.287107,53.776966,3
2020160959846,-0.038898,53.563716,5
2020160960050,-0.397639,53.755707,3
2020160960054,-0.516393,53.73754,3
2020160960183,-0.274044,54.05649,2
2020160960194,-0.345236,53.739813,3
2020160960249,-0.862124,53.736539,1
2020160960251,-0.522958,53.561716,4
2020160960259,-0.268381,53.768472,3
2020160960353,-0.367217,53.743431,3
2020160960355,-0.644886,53.584625,4
2020160960356,-0.362621,53.770776,3
2020160960453,-0.497917,53.555534,4
2020160960591,-0.01205,53.750276,5
2020160960627,-0.273261,53.759724,3
2020160960639,-0.395821,53.739323,3
2020160960672,-0.058343,53.572043,5
2020160960695,-0.103133,53.515784,5
2020160960703,-0.353802,53.768912,3
2020160961007,-0.264882,53.769051,3
2020160961028,-0.299265,53.747251,3
2020160961192,-0.203036,54.094255,2
2020160961209,-0.926715,53.763642,1
2020160961228,-0.388835,53.76776,3
2020160961263,-0.308285,53.777168,3
2020160961288,-0.372993,53.737208,3
2020160961307,-0.140778,53.736771,5
2020160961366,-0.358567,53.743214,3
2020160961459,-0.203258,54.076748,2
2020160961655,-0.353884,53.768364,3
2020160961656,-0.277784,53.774873,3
2020160961738,-0.336229,53.785496,3
2020160961914,-0.385999,53.760603,3
2020160962045,-0.42048,53.59871,3
2020160962055,-0.307078,53.76302,3
2020160962064,-0.656019,53.575105,4
2020160962070,-0.486502,53.551794,4
2020160962145,-0.652018,53.586458,4
2020160962165,-0.314093,53.747352,3
2020160962283,-0.32677,53.811891,3
2020160962333,-0.204486,54.081584,2
2020160962469,-0.359015,53.760524,3
2020160962470,-0.702865,53.631506,4
2020160962570,-0.043329,53.558008,5
2020160962573,-0.429659,53.678392,3
2020160962664,-0.434705,53.717443,3
2020160962734,-0.022912,53.556486,5
2020160962788,-0.072486,53.566922,5
2020160962829,-0.669629,53.565873,4
2020160963071,-0.104828,53.567025,5
2020160963091,-0.837893,53.932829,1
2020160963105,-0.748155,53.556419,4
2020160963133,-0.668621,53.556144,4
2020160963251,-0.201769,54.089616,2
2020160963741,-0.421842,53.733968,3
2020160963768,-0.993596,53.67555,1
2020160963917,-0.258366,53.897437,2
2020160963925,-0.217277,53.758806,3
2020160963938,-0.391227,53.740106,3
2020160963990,-0.251309,53.745518,3
2020160964004,-0.345946,53.762259,3
2020160964024,-0.180353,53.535278,5
2020160964210,-0.458745,53.680828,3
2020160964213,-0.211132,54.095184,2
2020160964258,-0.528068,53.81257,3
2020160964397,-0.33679,53.779356,3
2020160964432,-0.387727,53.732922,3
2020160964492,-0.448997,53.775502,3
2020160964530,-0.074705,53.557618,5
2020160964699,-0.542952,53.545358,4
2020160964846,-0.655767,53.574006,4
2020160964885,-0.417655,53.72397,3
2020160964900,-0.672756,53.584668,4
2020160965024,-0.349208,53.780822,3
2020160965060,-0.347433,53.749884,3
2020160965107,-0.598244,53.761403,4
2020160965123,-0.084824,53.70254,5
2020160965146,-0.441235,53.755625,3
2020160965284,-0.092328,53.552497,5
2020160965311,-0.450774,53.771759,3
